4493
445	1817
2803	1889
2911	298
2657	863
21	2318
256	1878
4240	1194
2169	4250
1721	2573
1220	3959
2259	4120
2045	2264
1341	536
3028	1669
3390	1915
1046	1763
2960	3397
2255	564
2260	2178
3391	2222
1107	2331
4028	1333
3068	3009
2706	2364
3230	1811
2146	69
3229	2224
2259	1950
2609	1039
3705	2621
1924	3783
3651	855
1920	3123
4360	960
2259	2107
3210	2895
2187	538
218	3557
3900	1646
1827	3652
3751	3784
836	2081
2240	2460
218	1912
1765	3012
570	3809
3774	2262
1736	3753
1341	1889
1452	2578
2258	2064
2711	1792
1174	2312
1878	584
481	935
1008	3321
555	1792
1046	3402
2406	3428
2255	1741
4421	2224
4257	2871
2259	474
2510	1650
3774	1512
2798	3457
2529	1692
0	548
513	4129
1267	3934
2798	796
1446	2258
1438	2127
2219	585
1643	1792
1438	554
1046	1387
3196	806
2255	3756
850	1792
2218	3519
1878	500
4117	2202
3035	1972
1819	4462
462	1438
520	25
2541	495
2372	2212
2260	2973
1933	1650
2259	534
2926	2126
2467	2865
1769	1184
3813	2471
2650	1788
329	2373
4136	1946
84	2265
3464	653
2113	2199
2255	3296
3301	3960
1102	4102
3679	2647
882	1909
2260	2385
3825	1711
1107	2664
1945	2180
2517	3734
2374	1793
1211	306
1013	1438
2259	1775
2219	2164
1920	3394
2911	415
2259	3848
2494	3041
3874	2185
4056	2908
281	274
489	2659
4013	1274
1171	3857
1041	2260
2106	1257
2383	2475
2219	1466
2187	2676
3615	2466
2276	1557
2262	1728
3774	2561
229	174
2833	3747
4443	2212
1878	2726
2260	3752
2458	2352
2951	683
1107	4033
1454	3246
3045	1928
1828	2131
1438	3971
2259	2372
2187	2096
3394	2278
1574	1405
1685	2528
530	2082
2244	723
3751	2278
1046	1210
709	3335
4301	1669
1537	76
2187	3805
1878	711
2951	2698
1834	1705
3257	3607
1757	2918
199	78
1878	2146
879	1560
2260	3180
2259	359
1261	3068
3870	1086
2259	2944
3031	946
2432	2934
1632	3611
4226	496
2259	3101
3073	3959
3072	1650
2450	2918
3551	1876
2301	2862
4211	1399
1106	1461
573	16
2215	3246
3035	1793
1021	2450
3040	3221
2255	1162
2215	2771
1695	2008
2259	931
3196	4327
3631	2862
3359	2603
3176	1400
1602	2460
4322	4178
3257	773
1889	2224
3151	3733
2911	588
3021	2024
419	3952
2911	2081
1629	2918
870	3399
2380	411
2343	1889
1341	894
3747	3959
4250	2301
3196	381
1878	1615
2039	2199
2260	577
2045	4035
827	1669
866	3301
2260	2532
3391	2304
1031	3959
1721	1437
1980	3922
4132	1692
3572	3959
1222	2278
2559	836
3124	3028
974	2375
4426	4441
2259	1656
485	2458
2911	0
1106	4054
3927	2448
3215	120
2911	2021
1629	2346
1221	2471
543	2255
1437	4427
1046	366
248	4026
3125	2655
384	2212
1878	1035
2244	898
1991	1832
60	4408
1829	2825
1736	3587
3394	284
2255	258
2260	1944
3243	4456
1642	1990
3994	2819
2219	4477
3984	537
510	836
3013	995
967	2126
3755	906
2946	1980
64	2938
1878	4312
2426	4471
3280	554
2259	2769
1243	1767
1873	3512
2706	1392
83	783
3201	1094
1514	3959
2609	2171
1824	2920
2190	4125
2221	33
3913	1755
3243	2948
1706	2180
1920	1999
2244	326
2151	1932
3364	1669
1239	2187
2260	1372
2620	3296
836	1109
2960	2258
2255	1499
3033	4304
4334	4330
1965	994
2573	3010
1878	2297
4012	3047
3392	3320
2084	3857
967	1682
3492	2224
413	1889
2921	2916
4198	3820
1701	2825
3733	3151
2259	3494
2240	3246
3196	3241
1375	3642
3280	2364
3588	525
3298	4013
3462	2274
675	540
4454	2316
2187	3090
3953	2587
922	2259
1878	1822
2260	784
3738	1557
3392	1241
2255	1055
868	1178
2259	812
2967	882
2244	4480
2259	1353
676	2724
3596	1721
2255	4309
3588	2798
1438	3453
2355	2798
219	967
2259	4066
3066	2526
775	2224
2911	2218
2620	1733
3830	1428
2259	4223
836	2570
1381	2890
1046	185
2904	2460
3953	2471
2255	3070
1226	2681
3590	94
1046	1732
1972	2471
3843	2633
3774	2815
2221	2547
710	4250
2951	3432
1107	2430
4416	686
2260	3586
974	3794
1176	1669
434	1919
2210	3503
1438	3897
818	2462
4226	3535
2911	245
2259	2078
1657	3005
287	4253
2825	2446
3591	1466
2244	1170
3565	2212
1424	3010
2366	1669
2864	1039
1094	1681
3170	1575
2187	3847
949	78
2798	4144
1878	557
2075	821
1147	1557
3105	2224
4065	1646
446	456
345	1831
2706	2205
1741	1543
4427	1793
2548	2918
3145	2212
2792	3996
3857	3994
2550	1980
2255	1768
1046	4223
4472	4233
4092	1264
